iter	Accuracy	Logloss
447	0.8710819334	0.2881221734
448	0.8709853897	0.2880242344
449	0.8709532085	0.2879644721
450	0.8709210272	0.287954296
451	0.8710819334	0.2878531011
452	0.8710819334	0.2877103918
453	0.8713393834	0.2875882754
454	0.8713393834	0.2875814337
455	0.8713072022	0.2875404536
456	0.8713072022	0.2874408256
457	0.8715002896	0.2873136717
458	0.8715646521	0.287277633
459	0.8715324709	0.2872254582
460	0.8715646521	0.2870656538
461	0.8715646521	0.2870089077
462	0.8716290146	0.2869007638
463	0.8716611959	0.286793108
464	0.8716611959	0.286759622
465	0.8719186458	0.286657776
466	0.8719186458	0.2865245775
467	0.8721117333	0.2864796089
468	0.8720473708	0.2864138216
469	0.8721117333	0.2863526527
470	0.8722404583	0.2862820516
471	0.8722726395	0.2862122651
472	0.8723048208	0.2860795934
473	0.8723048208	0.286014237
474	0.8722404583	0.2859826759
475	0.8722726395	0.2859017845
476	0.8724013645	0.2858303873
477	0.872337002	0.2857515238
478	0.8723048208	0.2856364911
479	0.8725300895	0.2855959998
480	0.8726588144	0.2855592128
481	0.8727553582	0.285396128
482	0.8727875394	0.2853236397
483	0.8727553582	0.285286846
484	0.8728197207	0.2851935945
485	0.8726909957	0.2850989515
486	0.872594452	0.2850314705
487	0.8727553582	0.2849928201
488	0.8728840832	0.2849041154
489	0.8729162644	0.2848721568
490	0.8731093519	0.2847861423
491	0.8732702581	0.2847284843
492	0.8732702581	0.284618295
493	0.8733989831	0.2844972695
494	0.8735277081	0.284392065
495	0.8735598893	0.2843276548
496	0.873656433	0.2842650009
497	0.8736886143	0.2842474814
498	0.8737207955	0.284133425
499	0.873785158	0.2840108722
500	0.8738817017	0.2839330494
501	0.8738495205	0.2838638796
502	0.8740104267	0.2837075755
503	0.8740104267	0.2836084307
504	0.8740747892	0.2835298013
505	0.874042608	0.283472537
506	0.8741069705	0.283403717
507	0.8740747892	0.2833497828
508	0.8741391517	0.2832649389
509	0.8741713329	0.2831681916
510	0.8741713329	0.2831656715
511	0.8743644204	0.2831142496
512	0.8745253266	0.2830718288
513	0.8745253266	0.2830335181
514	0.8745575079	0.2829317165
515	0.8746862329	0.2828977528
516	0.8748149578	0.2827787992
517	0.8748793203	0.2826223269
518	0.8750402266	0.2824987084
519	0.8750724078	0.2824448303
520	0.8751689515	0.2823915724
521	0.8752976765	0.2823270564
522	0.875233314	0.2822805681
523	0.8754264015	0.2821841122
524	0.875490764	0.2820888283
525	0.8758125764	0.2820100167
526	0.8758125764	0.2819460992
527	0.8758769389	0.2819068892
528	0.8759413014	0.2818144237
529	0.8759734827	0.2817334415
530	0.8760378451	0.2816825396
531	0.8760700264	0.2816208082
532	0.8760056639	0.2815339491
533	0.8761022076	0.2813903531
534	0.8762631139	0.2812709116
535	0.8762309326	0.2812195338
536	0.8761987514	0.2811031027
537	0.8761987514	0.281071365
538	0.8762952951	0.280978677
539	0.8762952951	0.2809125101
540	0.8761022076	0.2808316372
541	0.8761343889	0.2807436384
542	0.8761343889	0.2807429767
543	0.8761665701	0.280617519
544	0.8764240201	0.2805073362
545	0.8764562013	0.2804209694
546	0.8767458325	0.2803154315
547	0.8766492888	0.2802279973
548	0.8769711012	0.2800248007
549	0.87693892	0.2799613117
550	0.877067645	0.2799446334
551	0.8771320075	0.279924241
552	0.877067645	0.2798820609
553	0.8772285512	0.2798188036
554	0.8772929137	0.279776
555	0.87719637	0.2796953907
556	0.8772607324	0.2796412001
557	0.8773250949	0.2795608298
558	0.8772929137	0.2794914889
559	0.8773894574	0.2794082622
560	0.8775181824	0.2793269721
561	0.8775503636	0.2792494945
562	0.8775503636	0.2791800237
563	0.8775825449	0.2791361589
564	0.8776147261	0.2790453785
565	0.8775181824	0.2789810676
566	0.8777112699	0.2788872793
567	0.8777756324	0.2788349498
568	0.8780009011	0.2786844493
569	0.8779365386	0.2785318875
570	0.8779365386	0.2784873427
571	0.8781939885	0.2783631686
572	0.8782261698	0.2782263211
573	0.8782905323	0.2781766408
574	0.8784514385	0.2780220933
575	0.8785801635	0.2779210836
576	0.8785479822	0.2779050544
577	0.8784836197	0.2778327835
578	0.8785801635	0.2778013003
579	0.8786767072	0.2777704473
580	0.8786123447	0.2776862754
